author_date_unix_timestamp,fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug,days_to_first_fix
1249052836,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1249439569,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1249439593,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1249442249,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1249443016,0,2.0,8.0,36.0,2.4750709402730986,21658.0,0.0,0.0,1.0,0.0,0.0,17.5,0.0,5.0,1,0.016863425925925928
1249443605,0,1.0,1.0,1.0,0.0,0.0,3.0,51.0,1.0,0.00681712962962963,1.0,36.0,147.6893039049236,6.0,0,0.0
1249444473,1,1.0,1.0,1.0,0.0,1.0,1.0,141.0,1.0,0.016863425925925928,1.0,37.0,60.29993136582017,30.0,1,523.9878356481481
1251817847,1,1.0,1.0,3.0,1.1015684673481676,555.0,476.0,1397.0,1.0,27.48646990740741,3.0,39.0,1.0222331610122992,33.0,1,93.04762731481482
1251818012,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,41.0,0.0,34.0,0,0.0
1251820221,1,1.0,1.0,1.0,0.0,20.0,18.0,141.0,1.0,27.49708333333333,2.0,42.0,1.0363674935220402,35.0,1,496.4907523148148
1251916896,0,1.0,1.0,2.0,0.68233488590521,57.0,59.0,1299.5,1.0,1.146400462962963,4.0,43.5,1.6542216478712557,37.0,1,266.01515046296294
1251918856,1,2.0,3.0,3.0,0.3843115441264969,77.0,3.0,9.0,1.0,9.551851851851852,1.0,46.0,0.3449657489983198,38.0,0,0.0
1251940588,0,1.0,1.0,1.0,0.0,719.0,0.0,0.0,1.0,0.0,0.0,48.0,0.0,39.0,0,0.0
1251940642,0,1.0,1.0,1.0,0.0,1.0,1.0,719.0,1.0,0.000625,1.0,49.0,1601.0,40.0,0,0.0
1251940816,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50.0,0.0,41.0,0,0.0
1251941503,0,1.0,1.0,1.0,0.0,8.0,4.0,48.0,1.0,28.91085648148148,2.0,51.0,1.0345890825005666,7.0,0,0.0
1252019484,0,1.0,1.0,1.0,0.0,31.0,0.0,0.0,1.0,0.0,0.0,52.0,0.0,2.0,0,0.0
1252019775,0,1.0,1.0,1.0,0.0,138.0,180.0,719.0,1.0,0.9158912037037036,2.0,53.0,2.0918327372903844,42.0,1,5.71443287037037
1252019792,0,1.0,1.0,1.0,0.0,12.0,1.0,31.0,1.0,0.003564814814814815,1.0,54.0,281.5194805194805,3.0,0,0.0
1252019860,0,1.0,1.0,1.0,0.0,8.0,0.0,42.0,1.0,0.000787037037037037,2.0,55.0,1271.5882352941173,4.0,0,0.0
1252020553,0,1.0,1.0,1.0,0.0,1.0,1.0,677.0,1.0,0.00900462962962963,3.0,56.0,112.05398457583547,43.0,0,0.0
1252022552,0,1.0,1.0,2.0,0.0989590953557431,80.0,76.0,703.5,1.0,15.539305555555556,4.0,57.5,1.0328354329769152,45.0,1,97.76899305555555
1252513502,1,1.0,2.0,3.0,1.1037297257429597,30.0,3.0,1126.0,1.0,6.479760802469138,10.0,60.0,1.082818165376242,48.0,1,118.0579861111111
1252688561,0,1.0,1.0,2.0,0.3776463213737004,19.0,22.0,1310.0,1.0,5.478726851851852,8.0,62.5,1.1016138815424743,50.0,1,86.53184027777777
1253332945,0,1.0,1.0,1.0,0.0,51.0,24.0,677.0,1.0,9.484293981481484,5.0,64.0,1.1054374739914796,51.0,0,0.0
1253383222,0,1.0,1.0,1.0,0.0,28.0,13.0,1566.0,1.0,8.04005787037037,4.0,65.0,1.124377214209521,52.0,1,275.10459490740743
1253383350,0,1.0,1.0,1.0,0.0,40.0,10.0,1581.0,1.0,0.0014814814814814814,5.0,66.0,676.0,53.0,1,173.19208333333333
1253383672,0,1.0,1.0,1.0,0.0,4.0,4.0,1611.0,1.0,0.0037268518518518523,6.0,67.0,269.3229813664596,54.0,0,0.0
1253383689,0,1.0,1.0,1.0,0.0,21.0,12.0,1051.0,1.0,8.045462962962963,6.0,68.0,1.1242936552692453,55.0,1,1249.9698148148148
1255188377,0,1.0,1.0,1.0,0.0,304.0,0.0,0.0,1.0,0.0,0.0,69.0,0.0,56.0,1,325.43899305555556
1255232952,0,1.0,1.0,1.0,0.0,57.0,14.0,304.0,1.0,0.5159143518518519,1.0,70.0,2.9383062254627035,57.0,0,0.0
1255297371,0,1.0,1.0,1.0,0.0,277.0,107.0,347.0,1.0,0.7455902777777778,2.0,71.0,2.3412192055139007,58.0,1,59.86599537037037
1255297446,0,1.0,1.0,1.0,0.0,3.0,3.0,517.0,1.0,0.0008680555555555555,3.0,72.0,1153.0,59.0,0,0.0
