author_date_unix_timestamp,fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug,days_to_first_fix
1254244893,0,2.0,2.0,6.0,2.104222504048919,288.0,0.0,0.0,1.0,0.0,0.0,2.5,0.0,1.0,0,0.0
1254261636,0,1.0,1.0,1.0,0.0,0.0,2.0,5.0,1.0,0.19378472222222226,1.0,6.0,6.160365525891418,4.0,0,0.0
1254261666,0,1.0,1.0,1.0,0.0,94.0,19.0,77.0,1.0,0.19413194444444445,1.0,7.0,6.1511357538901805,5.0,1,0.8395254629629629
1254261833,0,1.0,1.0,1.0,0.0,0.0,41.0,152.0,1.0,0.0019328703703703704,2.0,8.0,518.3652694610778,6.0,0,0.0
1254261889,0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.19671296296296287,1.0,9.0,6.083549070369497,7.0,0,0.0
1254268301,0,1.0,1.0,1.0,0.0,4.0,14.0,111.0,1.0,0.07486111111111111,3.0,10.0,14.358070500927644,8.0,0,0.0
1254268319,0,1.0,1.0,1.0,0.0,28.0,3.0,101.0,1.0,0.00020833333333333327,4.0,11.0,4801.0,9.0,1,0.7625231481481481
1254334201,1,2.0,2.0,2.0,0.4021791902022729,20.0,5.0,111.0,1.0,0.8980902777777777,6.0,12.5,1.9340862500636944,2.0,0,0.0
1254531192,0,1.0,1.0,1.0,0.0,102.0,20.0,141.0,1.0,2.279988425925925,6.0,14.0,1.4385987177079156,11.0,0,0.0
1254531642,0,2.0,2.0,2.0,0.9991421039919088,15.0,14.0,134.5,1.0,1.66203125,8.0,15.5,97.15041835103882,3.0,0,0.0
1254594028,0,1.0,1.0,1.0,0.0,35.0,17.0,218.0,1.0,0.7220601851851852,8.0,17.0,2.384926105215914,13.0,0,0.0
1254594078,0,1.0,1.0,1.0,0.0,38.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,4.0,0,0.0
1254602950,0,1.0,1.0,1.0,0.0,62.0,18.0,38.0,1.0,0.10268518518518516,1.0,19.0,10.738503155996392,5.0,0,0.0
1254687744,0,1.0,1.0,1.0,0.0,28.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,6.0,1,0.0069791666666666665
1254687998,0,1.0,1.0,1.0,0.0,3.0,1.0,96.0,1.0,4.0948726851851855,2.0,21.0,1.244207836697315,7.0,0,0.0
1254688239,0,1.0,1.0,1.0,0.0,2.0,19.0,82.0,1.0,0.9871412037037036,2.0,22.0,2.0130262988193084,8.0,0,0.0
1254688290,0,1.0,1.0,1.0,0.0,35.0,31.0,236.0,1.0,1.0909953703703703,9.0,23.0,1.9165941736861087,14.0,0,0.0
1254688322,0,1.0,1.0,1.0,0.0,21.0,9.0,52.0,1.0,1.813425925925926,2.0,24.0,1.5514424304314525,9.0,0,0.0
1254688347,1,1.0,1.0,1.0,0.0,3.0,2.0,28.0,1.0,0.006979166666666666,1.0,25.0,144.28358208955225,10.0,0,0.0
1254688479,0,1.0,1.0,1.0,0.0,3.0,2.0,29.0,1.0,0.0015277777777777779,2.0,26.0,655.5454545454545,11.0,0,0.0
1254696103,0,1.0,1.0,1.0,0.0,57.0,6.0,240.0,1.0,0.09042824074074074,10.0,27.0,12.058492256495585,15.0,0,0.0
1254697526,0,1.0,1.0,1.0,0.0,12.0,3.0,291.0,1.0,0.01646990740740741,11.0,28.0,61.71679550245959,16.0,0,0.0
1254699847,0,2.0,2.0,2.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,29.5,0.0,0.0,0,0.0
1254699884,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,0.0,1.0,0,0.0
